episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,policy_loss,loss,replay_loss,buffer
1,-2.4785146713256836,44.36421585083008,0.984375,4.296450614929199,3415.08935546875,-221517.671875,0.9931640625,1.2,0.02,-0.8402537107467651,-0.9321527481079102,nan,64
2,-3.9611663818359375,68247.9765625,0.96875,3.1398353576660156,5257144.5,-31907.18359375,0.9970703125,1.198520859886228,0.019953955284726408,-1.607329249382019,-1.6735159158706665,nan,128
3,-0.4894756078720093,0.4894756078720093,1.0,2.6198911666870117,48.33525085449219,-2333.228515625,1.0,1.1970435429853528,0.019908016575243045,-0.48008066415786743,-0.5317504405975342,nan,192
4,-2.947648286819458,2.947648286819458,1.0,2.6822197437286377,237.20803833007812,-6926.02783203125,1.0,1.1955680470500516,0.019862183627499592,-0.529558002948761,-0.5711626410484314,nan,256
5,-0.5488834381103516,0.5488834381103516,1.0,2.508434295654297,53.769981384277344,-34615.078125,0.9931640625,1.194094369835772,0.01981645619800759,-1.011509895324707,-1.0461746454238892,nan,320
6,-0.8127514719963074,0.8127514719963074,1.0,2.7470149993896484,72.2579345703125,-3873271.75,0.998046875,1.1926225091007274,0.01977083404383915,-0.20514678955078125,-0.23894570767879486,nan,384
7,-1.0736470222473145,1.0736470222473145,1.0,2.6627161502838135,93.00405883789062,-6763.716796875,0.998046875,1.1911524626058956,0.019725316922625646,-0.7865044474601746,-0.8191861510276794,nan,448
8,-0.6348404884338379,0.6348404884338379,1.0,2.692737102508545,58.97156524658203,-11015.833984375,0.9873046875,1.1896842281150133,0.01967990459255646,-0.697535514831543,-0.7255390882492065,0.15176145732402802,512
9,-0.7793980836868286,0.7793980836868286,1.0,2.6232666969299316,70.64196014404297,-400.3581237792969,0.9990234375,1.1882178033945743,0.019634596812377673,-0.9805445671081543,-1.006714940071106,0.1454351246356964,576
10,-3.3907008171081543,70415.375,0.984375,3.153360605239868,5424099.0,-6064.31591796875,0.990234375,1.1867531862138252,0.019589393341390787,-1.3633131980895996,-1.3896194696426392,0.14075833559036255,640
11,-17.257875442504883,17.257875442504883,1.0,2.859757423400879,1338.156494140625,-476441.25,1.0,1.1852903743447623,0.019544293939451448,-0.7871016263961792,-0.8141279816627502,0.13311240077018738,704
12,-0.7244669198989868,0.7244669198989868,1.0,2.698881149291992,65.82815551757812,-237.45855712890625,1.0,1.183829365562128,0.019499298366968176,-1.314232587814331,-1.344347357749939,0.11826114356517792,768
13,-24.913618087768555,24.913618087768555,1.0,2.7984914779663086,1928.3497314453125,-87292.1328125,0.9970703125,1.1823701576434078,0.019454406384901084,-0.6372467279434204,-0.6693407893180847,0.126682847738266,832
14,-11.493806838989258,11.493806838989258,1.0,2.711695671081543,895.291015625,-31032.4140625,1.0,1.1809127483688269,0.019409617754760605,-0.8599722385406494,-0.8933058381080627,0.11395829916000366,896
15,-402.335693359375,402.335693359375,1.0,2.8277525901794434,31000.92578125,-7580.25439453125,0.9921875,1.179457135521346,0.019364932238606244,-0.7824368476867676,-0.8158384561538696,0.10572891682386398,960
16,-3.7292747497558594,4871.73828125,0.96875,3.1098856925964355,375276.53125,-124909.390625,0.9931640625,1.178003316886659,0.019320349599045293,-0.5260836482048035,-0.5596872568130493,0.10302954167127609,1024
17,-0.9835288524627686,0.9835288524627686,1.0,2.662395477294922,86.06472778320312,-561.426513671875,1.0,1.1765512902531894,0.019275869599231575,-0.9852964282035828,-1.0150278806686401,0.10449070483446121,1088
18,-2.2123517990112305,2.2123517990112305,1.0,2.747366189956665,180.06634521484375,-26640.3671875,0.9990234375,1.1751010534120865,0.019231492002864198,-0.4605708122253418,-0.4931284189224243,0.09422684460878372,1152
19,-1.2700942754745483,1.2700942754745483,1.0,2.749819278717041,107.46541595458984,-6756.7802734375,1.0,1.1736526041572217,0.019187216574186285,-0.8604254126548767,-0.8948349952697754,0.09916966408491135,1216
20,-0.4823567569255829,0.4823567569255829,1.0,2.637300491333008,47.65278244018555,-391895.28125,1.0,1.172205940285187,0.01914304307798373,-0.9151649475097656,-0.9475206732749939,0.10453207790851593,1280
21,-3.8117194175720215,7415.875,0.96875,3.1941850185394287,571250.625,-30837.59375,0.99609375,1.1707610595952889,0.01909897127958393,-1.4217897653579712,-1.4592632055282593,0.09940464049577713,1344
22,-0.9275565147399902,0.9275565147399902,1.0,2.768098831176758,80.93895721435547,-92419.6953125,0.998046875,1.1693179598895476,0.019055000944854582,-1.0583484172821045,-1.0969746112823486,0.09626089036464691,1408
23,-4.30146598815918,537048.3125,0.96875,3.6702375411987305,41368800.0,-18896.265625,0.974609375,1.167876638972692,0.01901113184020239,-1.0741968154907227,-1.1071579456329346,0.1037885993719101,1472
24,-6.869340896606445,6.869340896606445,1.0,2.7741589546203613,538.5875854492188,-1582.5406494140625,0.998046875,1.1664370946521572,0.018967363732571848,-0.5017790198326111,-0.5330247282981873,0.10032640397548676,1536
25,-3.2390122413635254,3.2390122413635254,1.0,2.819671154022217,258.59295654296875,-19144.8828125,1.0,1.164999324738081,0.018923696389444,-0.37528231739997864,-0.40548548102378845,0.08836288750171661,1600
26,-0.8489161133766174,0.8489161133766174,1.0,2.6547412872314453,75.75447845458984,-6726.73779296875,0.9853515625,1.1635633270432997,0.018880129578835204,-0.6966444253921509,-0.73029625415802,0.09696424752473831,1664
