episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,hard_batch_fraction,state_weight_mean,state_weight_max,policy_loss,loss,replay_loss,buffer
1,-100.0,4.3004280528337875e+24,0.0,143.36158752441406,1.331922068270258e+26,-23.182132720947266,0.0,1.2,0.02,0.0,1.0,1.0,2.635373830795288,1.6312320232391357,2.2916336059570312,640
2,-100.0,1.6921952961901363e+17,0.0,70.88680267333984,5.241041526364045e+18,-80661.765625,0.0003662109375,1.198520859886228,0.019953955284726408,0.0,1.0,1.0,-4.3360443115234375,-5.124501705169678,1.9295145273208618,1280
3,-100.0,2.0793748576142528e+21,0.0,53.615135192871094,6.4402087160947415e+22,-134146704.0,0.004638671875,1.1970435429853528,0.019908016575243045,0.0,1.0,1.0,0.3147518038749695,-0.3413032293319702,1.5640028715133667,1920
4,-96.90150451660156,140353407549440.0,0.03125,52.89365005493164,4347004851322880.0,-42042212.0,0.012451171875,1.1955680470500516,0.019862183627499592,0.0,1.0,1.0,4.0981245040893555,3.486743450164795,1.3618756532669067,2560
5,-100.0,8502190800896.0,0.0,44.02467346191406,263328572112896.0,-37537243136.0,0.0107421875,1.194094369835772,0.01981645619800759,0.0,1.0,1.0,4.278388023376465,3.6895933151245117,1.2239271402359009,3200
6,-87.63461303710938,629134392819712.0,0.125,43.302310943603516,1.9485457020616704e+16,-12409372672.0,0.0234375,1.1926225091007274,0.01977083404383915,0.0,1.0,1.0,4.610004425048828,4.029952049255371,1.1843754053115845,3840
7,-93.78968811035156,6744090792165376.0,0.0625,42.30669403076172,2.0887695552780698e+17,-31263385600.0,0.052734375,1.1911524626058956,0.019725316922625646,0.0,1.0,1.0,5.707703113555908,5.1552019119262695,1.1810765266418457,4480
8,-100.0,2.7771853388906496e+16,0.0,44.80767059326172,8.601456099469558e+17,-229213764321280.0,0.0189208984375,1.1896842281150133,0.01967990459255646,0.0,1.0,1.0,4.239765644073486,3.683091163635254,1.1226780414581299,5120
9,-96.8984375,11747375185920.0,0.03125,41.580326080322266,363837953933312.0,-173436601106432.0,0.04150390625,1.1882178033945743,0.019634596812377673,0.0,1.0,1.0,5.613534927368164,5.043767929077148,1.0013482570648193,5760
10,-96.89789581298828,1161348956291072.0,0.03125,47.12812042236328,3.596912703832064e+16,-348056125440.0,0.0257568359375,1.1867531862138252,0.019589393341390787,0.0,1.0,1.0,2.597647190093994,2.004150867462158,0.9818160533905029,6400
11,-100.0,1949335063363584.0,0.0,43.96778869628906,6.037451848862925e+16,-434111873024.0,0.012451171875,1.1852903743447623,0.019544293939451448,0.0,1.0,1.0,2.752483367919922,2.1510400772094727,0.9482072591781616,7040
12,-87.6253433227539,9.630161927195853e+17,0.125,41.795379638671875,2.9826396951098163e+19,-499001589760.0,0.0152587890625,1.183829365562128,0.019499298366968176,0.0,1.0,1.0,3.945878028869629,3.348234176635742,0.9406449794769287,7680
13,-96.8873519897461,1.3058963168611533e+17,0.03125,46.131690979003906,4.044602725919359e+18,-2736355072.0,0.0164794921875,1.1823701576434078,0.019454406384901084,0.0,1.0,1.0,4.4050726890563965,3.8141839504241943,0.9296143651008606,8320
14,-93.82181549072266,1232909419675648.0,0.0625,40.9264030456543,3.81854847818793e+16,-99146088448.0,0.0233154296875,1.1809127483688269,0.019409617754760605,0.0,1.0,1.0,4.985995769500732,4.405100345611572,0.9365721940994263,8960
15,-100.0,9401469736321024.0,0.0,43.088134765625,2.91180949964587e+17,-380615000064.0,0.02587890625,1.179457135521346,0.019364932238606244,0.0,1.0,1.0,6.257207870483398,5.701552867889404,0.8869741559028625,9600
16,-96.89534759521484,496802524561408.0,0.03125,45.4159049987793,1.5386893210353664e+16,-963809705984.0,0.0372314453125,1.178003316886659,0.019320349599045293,0.0,1.0,1.0,6.372489929199219,5.796989917755127,0.9691230058670044,10240
17,-100.0,16214920265728.0,0.0,46.4417724609375,502206163845120.0,-231559648.0,0.013671875,1.1765512902531894,0.019275869599231575,0.0,1.0,1.0,3.3972268104553223,2.7639636993408203,0.9321469068527222,10880
18,-90.7119369506836,656585542074368.0,0.09375,43.960838317871094,2.033566941918003e+16,-221131040.0,0.0157470703125,1.1751010534120865,0.019231492002864198,0.0,1.0,1.0,3.2734036445617676,2.6439924240112305,0.9046941995620728,11520
19,-93.85774230957031,107693251493888.0,0.0625,40.50689697265625,3335459254042624.0,-4339167395840.0,0.05517578125,1.1736526041572217,0.019187216574186285,0.0,1.0,1.0,6.027061462402344,5.459156036376953,0.9618492722511292,12160
20,-96.93106842041016,2251364277157888.0,0.03125,43.43316650390625,6.972891860461158e+16,-535445318402048.0,0.0855712890625,1.172205940285187,0.01914304307798373,0.0,1.0,1.0,7.293821334838867,6.755154609680176,0.9017375111579895,12800
21,-90.71186065673828,34781999923200.0,0.09375,39.82050323486328,1077262958985216.0,-1618469060608.0,0.0257568359375,1.1707610595952889,0.01909897127958393,0.0,1.0,1.0,7.099853515625,6.45816707611084,0.9095284342765808,13440
22,-90.73094177246094,1280634650624.0,0.09375,39.93022537231445,39663624519680.0,-788262144.0,0.0242919921875,1.1693179598895476,0.019055000944854582,0.0,1.0,1.0,3.4589459896087646,2.822124481201172,0.8698542714118958,14080
23,-93.81169128417969,4455011450880.0,0.0625,40.427024841308594,137979934801920.0,-3594660872192.0,0.055419921875,1.167876638972692,0.01901113184020239,0.0,1.0,1.0,7.6103620529174805,7.0510149002075195,0.8798544406890869,14720
24,-87.64044952392578,74223569600512.0,0.125,39.09878158569336,2298841248301056.0,-5079071457280.0,0.03271484375,1.1664370946521572,0.018967363732571848,0.0,1.0,1.0,5.390434741973877,4.780140399932861,0.8535479307174683,15360
