episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,hard_batch_fraction,state_weight_mean,state_weight_max,policy_loss,loss,replay_loss,buffer
1,-0.2713007926940918,0.2713007926940918,1.0,8.980603218078613,10.795223236083984,-0.41742435097694397,0.9830729365348816,1.2,0.02,0.0,1.0,1.0,-1.4835481643676758,-1.561572551727295,0.0633552297949791,2739
2,-0.2576344609260559,0.2576344609260559,1.0,8.489616394042969,10.823784828186035,-0.40229806303977966,0.9973958134651184,1.1981508974408706,0.01994244629676505,0.0,1.0,1.0,-2.8003604412078857,-2.8717613220214844,0.07609525322914124,2803
3,-0.2687477469444275,0.2687477469444275,1.0,8.933093070983887,10.764930725097656,-0.34190258383750916,1.0,1.1963046441986362,0.0198850582149679,0.0,1.0,1.0,-2.9768271446228027,-3.0612258911132812,0.08398640900850296,2867
4,-0.26863759756088257,0.26863759756088257,1.0,8.914115905761719,10.777265548706055,-0.42128467559814453,0.9466145634651184,1.1944612358827313,0.019827835278002203,0.0,1.0,1.0,-0.9967670440673828,-1.0717782974243164,0.09302062541246414,2931
5,-0.28312796354293823,0.28312796354293823,1.0,9.4087553024292,10.767894744873047,-0.36086344718933105,1.0,1.192620668109355,0.01977077701063312,0.0,1.0,1.0,-1.6665785312652588,-1.722974181175232,0.1085856556892395,2995
6,-0.26938581466674805,0.26938581466674805,1.0,8.882804870605469,10.822595596313477,-0.5515198111534119,0.95703125,1.1907829365014617,0.019713882938993402,0.0,1.0,1.0,0.0013989806175231934,-0.06437936425209045,0.10550687462091446,3059
7,-0.27493995428085327,0.27493995428085327,1.0,9.118900299072266,10.781530380249023,-0.36808931827545166,1.0,1.1889480366887515,0.019657152590579433,0.0,1.0,1.0,-2.320913314819336,-2.4119532108306885,0.11086754500865936,3123
8,-0.2839392423629761,0.2839392423629761,1.0,9.27258014678955,10.899423599243164,-0.45230987668037415,0.9973958134651184,1.1871159643076572,0.019600585494247317,0.0,1.0,1.0,-1.7531623840332031,-1.8288735151290894,0.13382354378700256,3187
9,-0.29721760749816895,0.29721760749816895,1.0,9.88192081451416,10.765066146850586,-0.3970698118209839,0.9986979365348816,1.1852867150013366,0.019544181180208956,0.0,1.0,1.0,-0.730791449546814,-0.804838240146637,0.13497529923915863,3251
10,-0.2567654252052307,0.2567654252052307,1.0,8.541122436523438,10.75893497467041,-0.34879401326179504,0.9973958134651184,1.183460284419661,0.019487939180028162,0.0,1.0,1.0,-2.935727834701538,-3.016918659210205,0.1187860444188118,3315
11,-0.2945622205734253,0.2945622205734253,1.0,9.784753799438477,10.772041320800781,-0.606091320514679,0.9895833134651184,1.1816366682192039,0.019431859026616757,0.0,1.0,1.0,-2.2637362480163574,-2.356947422027588,0.14335407316684723,3379
12,-0.2833213806152344,0.2833213806152344,1.0,9.3443021774292,10.825031280517578,-0.3589298725128174,1.0,1.1798158620632326,0.01937594025423069,0.0,1.0,1.0,-2.55376935005188,-2.6158952713012695,0.13424576818943024,3443
13,-0.2836134433746338,0.2836134433746338,1.0,9.41610336303711,10.77501392364502,-0.38944992423057556,0.9908854365348816,1.177997861621697,0.019320182398466185,0.0,1.0,1.0,-1.297102928161621,-1.3677453994750977,0.1348671317100525,3507
14,-0.2846687436103821,0.2846687436103821,1.0,9.349678039550781,10.856889724731445,-0.4303755462169647,0.9947916865348816,1.176182662571219,0.019264584996255864,0.0,1.0,1.0,-3.0525081157684326,-3.1559953689575195,0.13504861295223236,3571
15,-0.30219659209251404,0.30219659209251404,1.0,9.978422164916992,10.821043014526367,-0.43274542689323425,0.9973958134651184,1.1743702605950823,0.01920914758586491,0.0,1.0,1.0,-1.6088712215423584,-1.6761894226074219,0.15118159353733063,3635
16,-0.2509136199951172,0.2509136199951172,1.0,8.182929992675781,10.89039421081543,-0.319726824760437,1.0,1.1725606513832225,0.01915386970688725,0.0,1.0,1.0,-1.2063425779342651,-1.2537928819656372,0.15876208245754242,3699
17,-0.26570457220077515,0.26570457220077515,1.0,8.827005386352539,10.7686767578125,-0.39935895800590515,0.99609375,1.1707538306322165,0.019098750900241695,0.0,1.0,1.0,-1.449188232421875,-1.5158888101577759,0.15256494283676147,3763
18,-0.27725470066070557,0.27725470066070557,1.0,9.185831069946289,10.789772033691406,-0.39527106285095215,1.0,1.1689497940452727,0.019043790708168157,0.0,1.0,1.0,-2.0417661666870117,-2.1234869956970215,0.14001311361789703,3827
19,-0.2689969837665558,0.2689969837665558,1.0,8.927772521972656,10.77591323852539,-0.40745043754577637,0.9869791865348816,1.1671485373322203,0.01898898867422384,0.0,1.0,1.0,-1.787965178489685,-1.8653559684753418,0.1541643738746643,3891
20,-0.2613721489906311,0.2613721489906311,1.0,8.677459716796875,10.772811889648438,-0.36077189445495605,0.9986979365348816,1.1653500562094994,0.01893434434327943,0.0,1.0,1.0,-2.2119569778442383,-2.2873101234436035,0.14802643656730652,3955
21,-0.2770368754863739,0.2770368754863739,1.0,9.03443717956543,10.905921936035156,-0.38542571663856506,1.0,1.1635543464001505,0.018879857261515358,0.0,1.0,1.0,-2.3194119930267334,-2.3697824478149414,0.17678414285182953,4019
22,-0.28170716762542725,0.28170716762542725,1.0,9.206825256347656,10.892454147338867,-0.42638349533081055,0.97265625,1.1617614036338049,0.01882552697641798,0.0,1.0,1.0,-1.3742852210998535,-1.4284653663635254,0.148246169090271,4083
23,-0.25807708501815796,0.25807708501815796,1.0,8.591737747192383,10.753379821777344,-0.3425426483154297,1.0,1.159971223646674,0.018771353036775868,0.0,1.0,1.0,-3.2387328147888184,-3.3093101978302,0.16903315484523773,4147
24,-0.2750033140182495,0.2750033140182495,1.0,9.137388229370117,10.76833438873291,-0.5297443270683289,0.94140625,1.1581838021815396,0.018717334992676013,0.0,1.0,1.0,-0.9182290434837341,-0.9950751066207886,0.13496732711791992,4211
25,-0.2987143397331238,0.2987143397331238,1.0,9.915281295776367,10.778386116027832,-0.5219647288322449,0.9427083134651184,1.1563991349877427,0.01866347239550013,0.0,1.0,1.0,-0.8193060159683228,-0.900617241859436,0.15357211232185364,4275
26,-0.2850262522697449,0.2850262522697449,1.0,9.435111999511719,10.797645568847656,-0.4490925967693329,0.99609375,1.1546172178211753,0.018609764797920914,0.0,1.0,1.0,-1.2449951171875,-1.3092588186264038,0.1506148725748062,4339
27,-0.28623872995376587,0.28623872995376587,1.0,9.446985244750977,10.820646286010742,-0.3902125358581543,0.9986979365348816,1.1528380464442687,0.018556211753898325,0.0,1.0,1.0,-1.69041907787323,-1.754238486289978,0.16464683413505554,4403
28,-0.3019007742404938,0.3019007742404938,1.0,9.917598724365234,10.862112045288086,-0.4266563355922699,0.9947916865348816,1.1510616166259837,0.018502812818675888,0.0,1.0,1.0,-1.806032657623291,-1.8636928796768188,0.14158543944358826,4467
29,-0.27362143993377686,0.27362143993377686,1.0,9.030055046081543,10.817708969116211,-0.4046778380870819,0.9947916865348816,1.1492879241418015,0.018449567548776993,0.0,1.0,1.0,-2.344717502593994,-2.4188389778137207,0.15109699964523315,4531
30,-0.2864152789115906,0.2864152789115906,1.0,9.53763198852539,10.752342224121094,-0.37820467352867126,1.0,1.1475169647737122,0.018396475502001214,0.0,1.0,1.0,-1.4689629077911377,-1.542718529701233,0.15630550682544708,4595
31,-0.31520166993141174,0.31520166993141174,1.0,10.039674758911133,11.121021270751953,-0.44686487317085266,0.98828125,1.145748734310206,0.018343536237420657,0.0,1.0,1.0,-2.497450828552246,-2.5706899166107178,0.13287357985973358,4659
32,-0.25399982929229736,0.25399982929229736,1.0,8.441566467285156,10.764873504638672,-0.3297916054725647,0.9986979365348816,1.1439832285462623,0.01829074931537625,0.0,1.0,1.0,-2.7741336822509766,-2.8375720977783203,0.12843288481235504,4723
33,-0.27333277463912964,0.27333277463912964,1.0,9.01644515991211,10.8209228515625,-0.3605603277683258,0.9986979365348816,1.1422204432833407,0.01823811429747415,0.0,1.0,1.0,-3.012718915939331,-3.0842738151550293,0.1416729837656021,4787
34,-0.3010966181755066,0.3010966181755066,1.0,9.963733673095703,10.803333282470703,-0.545393168926239,0.9869791865348816,1.1404603743293698,0.01818563074658205,0.0,1.0,1.0,-2.53466534614563,-2.6096107959747314,0.13528737425804138,4851
35,-0.29461944103240967,0.29461944103240967,1.0,9.661474227905273,10.872922897338867,-0.5449039936065674,0.9127604365348816,1.138703017498738,0.018133298226825592,0.0,1.0,1.0,-2.8875441551208496,-2.951592206954956,0.13793784379959106,4915
36,-0.2596210837364197,0.2596210837364197,1.0,8.59670639038086,10.790851593017578,-0.35923299193382263,1.0,1.1369483686122834,0.018081116303584714,0.0,1.0,1.0,-2.303321361541748,-2.3723535537719727,0.12806600332260132,4979
37,-0.27044203877449036,0.27044203877449036,1.0,8.950278282165527,10.796592712402344,-0.36009135842323303,1.0,1.1351964234972844,0.018029084543490056,0.0,1.0,1.0,-1.485008716583252,-1.5571202039718628,0.13405022025108337,5043
38,-0.282635897397995,0.282635897397995,1.0,9.390106201171875,10.769704818725586,-0.36514392495155334,1.0,1.1334471779874482,0.017977202514419362,0.0,1.0,1.0,-2.1150996685028076,-2.1836678981781006,0.12632472813129425,5107
39,-0.27597159147262573,0.27597159147262573,1.0,9.0903902053833,10.832216262817383,-2.043152093887329,0.9778645634651184,1.1317006279229027,0.017925469785493888,0.0,1.0,1.0,-2.7013213634490967,-2.7756948471069336,0.12066362053155899,5171
40,-0.26195403933525085,0.26195403933525085,1.0,8.718918800354004,10.755033493041992,-0.4185420572757721,0.9908854365348816,1.1299567691501855,0.01787388592707482,0.0,1.0,1.0,-2.2972464561462402,-2.3759419918060303,0.11590409278869629,5235
41,-0.2941036820411682,0.2941036820411682,1.0,9.65774154663086,10.862075805664062,-0.420999139547348,0.9908854365348816,1.1282155975222345,0.017822450510759705,0.0,1.0,1.0,-2.566394329071045,-2.630599021911621,0.1264316886663437,5299
42,-0.28158098459243774,0.28158098459243774,1.0,9.330655097961426,10.789278030395508,-0.3458912670612335,1.0,1.1264771088983778,0.01777116310937891,0.0,1.0,1.0,-2.132840156555176,-2.1913671493530273,0.13053534924983978,5363
43,-0.2516792416572571,0.2516792416572571,1.0,8.366886138916016,10.762720108032227,-0.40887895226478577,0.9934895634651184,1.124741299144324,0.017720023296992057,0.0,1.0,1.0,-1.0986907482147217,-1.1586723327636719,0.13436301052570343,5427
44,-0.2776108384132385,0.2776108384132385,1.0,9.192760467529297,10.793754577636719,-0.3888266980648041,0.9986979365348816,1.1230081641321519,0.017669030648884483,0.0,1.0,1.0,-1.6666805744171143,-1.7228062152862549,0.12633150815963745,5491
45,-0.2509748935699463,0.2509748935699463,1.0,8.34129810333252,10.764419555664062,-0.3896946907043457,0.984375,1.121277699740302,0.017618184741563726,0.0,1.0,1.0,-0.8394712209701538,-0.9149317145347595,0.1281106173992157,5555
46,-0.2670981287956238,0.2670981287956238,1.0,8.858020782470703,10.781116485595703,-0.3351610004901886,1.0,1.119549901853565,0.017567485152756,0.0,1.0,1.0,-3.2797534465789795,-3.3640568256378174,0.12395507842302322,5619
47,-0.2611098289489746,0.2611098289489746,1.0,8.695456504821777,10.751263618469238,-0.3280625641345978,0.9986979365348816,1.117824766363073,0.017516931461402693,0.0,1.0,1.0,-2.8116519451141357,-2.865175247192383,0.12920153141021729,5683
48,-0.27277833223342896,0.27277833223342896,1.0,9.054201126098633,10.775603294372559,-0.3814125955104828,0.9986979365348816,1.1161022891662893,0.01746652324765687,0.0,1.0,1.0,-1.9139719009399414,-1.9793262481689453,0.1288163810968399,5747
49,-0.2801854908466339,0.2801854908466339,1.0,9.32213020324707,10.758661270141602,-0.3491422235965729,1.0,1.1143824661669997,0.017416260092879766,0.0,1.0,1.0,-2.260786771774292,-2.3300838470458984,0.12544488906860352,5811
50,-0.28622686862945557,0.28622686862945557,1.0,9.504899024963379,10.773658752441406,-0.37528324127197266,1.0,1.1126652932753012,0.01736614157963735,0.0,1.0,1.0,-2.5819225311279297,-2.649960517883301,0.11566305160522461,5875
51,-0.28466057777404785,0.28466057777404785,1.0,9.475434303283691,10.755330085754395,-0.3521304130554199,1.0,1.1109507664075928,0.01731616729169682,0.0,1.0,1.0,-1.9245575666427612,-1.996422529220581,0.1245521828532219,5939
52,-0.28507959842681885,0.28507959842681885,1.0,9.434654235839844,10.799448013305664,-0.4252493381500244,0.9895833134651184,1.109238881486567,0.01726633681402317,0.0,1.0,1.0,-1.4378681182861328,-1.5122333765029907,0.10731540620326996,6003
53,-0.28643473982810974,0.28643473982810974,1.0,9.505489349365234,10.778767585754395,-0.3813638389110565,0.9986979365348816,1.107529634441198,0.017216649732775716,0.0,1.0,1.0,-2.2717385292053223,-2.3343441486358643,0.11077295243740082,6067
54,-0.2915377616882324,0.2915377616882324,1.0,9.638378143310547,10.808754920959473,-0.3923763930797577,1.0,1.1058230212067341,0.017167105635304703,0.0,1.0,1.0,-2.7856881618499756,-2.842252492904663,0.11852677911520004,6131
55,-0.268187016248703,0.268187016248703,1.0,8.904890060424805,10.77259635925293,-0.372443825006485,0.9986979365348816,1.1041190377246861,0.017117704110147833,0.0,1.0,1.0,-1.7858800888061523,-1.8534389734268188,0.12164108455181122,6195
56,-0.2720722556114197,0.2720722556114197,1.0,9.034868240356445,10.772215843200684,-0.3969484269618988,0.9908854365348816,1.1024176799428191,0.017068444747026876,0.0,1.0,1.0,-1.2474334239959717,-1.3222392797470093,0.11094983667135239,6259
57,-0.2797529101371765,0.2797529101371765,1.0,9.304268836975098,10.761435508728027,-0.34239113330841064,1.0,1.1007189438151426,0.01701932713684425,0.0,1.0,1.0,-3.8234031200408936,-3.893301486968994,0.11021203547716141,6323
58,-0.2788759768009186,0.2788759768009186,1.0,9.263737678527832,10.77054214477539,-0.35883828997612,1.0,1.0990228253019003,0.016970350871679626,0.0,1.0,1.0,-1.3011865615844727,-1.350692868232727,0.11726772785186768,6387
59,-0.27111926674842834,0.27111926674842834,1.0,9.02345085144043,10.755819320678711,-0.34529533982276917,0.9830729365348816,1.0973293203695609,0.016921515544786544,0.0,1.0,1.0,-2.510136365890503,-2.5645105838775635,0.12810881435871124,6451
60,-0.2880480885505676,0.2880480885505676,1.0,9.09119987487793,11.155959129333496,-0.40145373344421387,1.0,1.0956384249908082,0.016872820750589032,0.0,1.0,1.0,-1.739159107208252,-1.794258952140808,0.13206148147583008,6515
61,-0.24256490170955658,0.24256490170955658,1.0,8.07373046875,10.754133224487305,-0.28946077823638916,1.0,1.0939501351445324,0.016824266084678234,0.0,1.0,1.0,-3.13082218170166,-3.1897292137145996,0.11758244037628174,6579
62,-0.24665918946266174,0.24665918946266174,1.0,8.178638458251953,10.779571533203125,-0.34790897369384766,0.9986979365348816,1.0922644468158194,0.016775851143809063,0.0,1.0,1.0,-2.7444849014282227,-2.814016819000244,0.12279491126537323,6643
63,-0.2940449118614197,0.2940449118614197,1.0,9.676311492919922,10.845531463623047,-0.37362757325172424,0.9973958134651184,1.0905813559959416,0.016727575525896838,0.0,1.0,1.0,-0.8496796488761902,-0.9064071178436279,0.12526074051856995,6707
64,-0.2590770125389099,0.2590770125389099,1.0,8.628642082214355,10.750499725341797,-0.32524725794792175,1.0,1.0889008586823492,0.016679438830013955,0.0,1.0,1.0,-1.755075454711914,-1.804607629776001,0.1134670227766037,6771
65,-0.2539411783218384,0.2539411783218384,1.0,8.391071319580078,10.803990364074707,-0.34086063504219055,1.0,1.0872229508786595,0.016631440656386547,0.0,1.0,1.0,-2.479602813720703,-2.5405828952789307,0.10391473770141602,6835
66,-0.25566527247428894,0.25566527247428894,1.0,8.494797706604004,10.766714096069336,-0.352533221244812,0.9895833134651184,1.085547628594648,0.01658358060639118,0.0,1.0,1.0,-2.743468761444092,-2.8039138317108154,0.1272050142288208,6899
67,-0.30157357454299927,0.30157357454299927,1.0,9.953916549682617,10.824056625366211,-0.4802463948726654,0.9973958134651184,1.0838748878462385,0.01653585828255152,0.0,1.0,1.0,-1.3269970417022705,-1.400075078010559,0.118011474609375,6963
68,-0.299277126789093,0.299277126789093,1.0,9.940214157104492,10.77341079711914,-0.3981706202030182,1.0,1.0822047246554947,0.01648827328853506,0.0,1.0,1.0,-2.674900770187378,-2.7307000160217285,0.1255238950252533,7027
69,-0.29279065132141113,0.29279065132141113,1.0,9.639912605285645,10.84117317199707,-0.37769725918769836,0.9986979365348816,1.0805371350506094,0.016440825229149806,0.0,1.0,1.0,-2.6579880714416504,-2.72016978263855,0.12167403101921082,7091
70,-0.28648701310157776,0.28648701310157776,1.0,9.469337463378906,10.809305191040039,-0.3698400557041168,1.0,1.0788721150658958,0.016393513710341,0.0,1.0,1.0,-1.345975399017334,-1.3949530124664307,0.10507411509752274,7155
71,-0.2822909951210022,0.2822909951210022,1.0,9.359859466552734,10.784815788269043,-0.47078433632850647,0.9869791865348816,1.0772096607417776,0.016346338339187846,0.0,1.0,1.0,-1.7459475994110107,-1.80996572971344,0.11530403792858124,7219
72,-0.2796553373336792,0.2796553373336792,1.0,9.313858985900879,10.75108528137207,-0.36108359694480896,1.0,1.0755497681247805,0.01629929872390026,0.0,1.0,1.0,-2.063675880432129,-2.125154495239258,0.10679667443037033,7283
73,-0.29230085015296936,0.29230085015296936,1.0,9.518542289733887,10.925821304321289,-0.5063636898994446,0.9765625,1.0738924332675217,0.0162523944738156,0.0,1.0,1.0,-1.5735268592834473,-1.6434755325317383,0.1113884449005127,7347
74,-0.2584967315196991,0.2584967315196991,1.0,8.554864883422852,10.794366836547852,-0.3214820325374603,1.0,1.0722376522287012,0.016205625199395435,0.0,1.0,1.0,-2.423290252685547,-2.4808199405670166,0.11647195369005203,7411
